Naam,Alternatieve namen,Plaats,Beginjaar,Eindjaar,Einddatum,Levensbeschouwing
K.V.C. Oranje,,Kerkrade,Voetbal,1911,1918,Neutraal
K.V.S.,,Kerkrade,Voetbal,1915,1919,Neutraal
K.V.T.,Kaveetee,Rotterdam,Voetbal,1929,1930,Neutraal
K.V.V.,,Katwijk aan Zee,Voetbal,1902,1905,Neutraal
K.V.V.,,Gebroek-Melick-Herkenbosch,Voetbal,1928,,Neutraal
K.V.V.,,Koog aan de Zaan,Voetbal,1915,1916,Neutraal
K.V.V.,,Cadier en Keer,Voetbal,1921,1923,Neutraal
K.V.V. (Krommeni&#235;r Voetbal Vereeniging),,Krommenie,Voetbal,1917,1999,Neutraal
K.V.V. (Krommeni&#235;r Voetbal Vereeniging),,Krommenie,Voetbal,1907,1910,Neutraal
K.V.V. (Kruislandsche Voetbalvereeniging),,Kruisland,Voetbal,1931,1934,Rooms-katholiek
K.V.V.A. (Katholieke Voetbal Vereeniging Amersfoort),,Amersfoort,Voetbal,1939,,Rooms-katholiek
K.V.W.,,Heerlen,Voetbal,1929,1935,Rooms-katholiek
K.V.W.,,Roosendaal,Voetbal,1936,,Rooms-katholiek
Kwadijk,,Kwadijk,Voetbal,1933,,Neutraal
Kweekschool voor Zeevaart,,Leiden,Voetbal,1916,1921,Neutraal
Kwiek,,Krewerd,Voetbal,1936,1936,Neutraal
Kwiek,D.O.S.,Hoogezand,Voetbal,1930,,Neutraal
Kwiek,,Kolham ?,Voetbal,1938,,Neutraal
K&#228;mpfer,,Amsterdam?,Voetbal,1935,1935,Socialistisch
K&#252;hn (zaterdag),,Rotterdam,Voetbal,1940,,Neutraal
La Premi&#232;re,Hollandia Vooruit (Voorwaarts),Almelo,Voetbal,1909,,Neutraal
La Vitesse,,Doesburg,Voetbal,1906,1911,Neutraal
La Vitesse,,Leeuwarden,Voetbal,1907,1909,Neutraal
Laag Soeren,,Laag-Soeren,Voetbal,1912,1913,Neutraal
Laagland,Den Hulst,Den Hulst (Nieuwleusen),Voetbal,1923,1924,Neutraal
Laag-Soeren,,Laag-Soeren,Voetbal,1925,1929,Neutraal
Laakkwartier,,Den Haag,Voetbal,1920,,Neutraal
Labor,V.O.G.,Deventer,Voetbal,1917,,Neutraal
Labor,,Deventer,Voetbal,1916,1918,Neutraal
Lachapelle,Belcrum//De Kapel,Breda,Voetbal,1928,1930,Neutraal
Lage Zwaluwe,Leonidas,Lage Zwaluwe,Voetbal,1920,1942,Rooms-katholiek
Landarbeid,,Zorgvlied,Voetbal,1933,1933,Neutraal
Landsmeer,V.V.L.,Landsmeer,Voetbal,1920,1928,Neutraal
Langbroeksche Boys,,Langbroek,Voetbal,1933,1936,Neutraal
Lange Weg,G.V.C.L.,Langeweg,Voetbal,1920,1923,Rooms-katholiek
Langelo,,Langelo,Voetbal,1934,,Neutraal
Langenboom,Victoria,Langenboom,Voetbal,1937,,Rooms-katholiek
Langendijk,,Oudkarspel,Voetbal,1922,1933,Neutraal
Langeweg,,Langeweg,Voetbal,1915,1915,Rooms-katholiek
Langezwaag,Xerxes,Langezwaag,Voetbal,1931,1942,Neutraal
Langstraters,,Kaatsheuvel,Voetbal,1921,1924,Neutraal
Langweer,L.V.V. (Langweerder Voetbal Vereeniging),Langweer,Voetbal,1933,,Neutraal
Laren,L.F.C.,Laren,Voetbal,1912,,Neutraal
Laura,Emma,Eijgelshoven,Voetbal,1919,1999,Rooms-katholiek
Lauradorp,Voorwaarts,Lauradorp,Voetbal,1931,1935,Neutraal
Laurens,,Rijswijk,Voetbal,1931,,Neutraal
Laurentio,,Rotterdam,Voetbal,1921,1942,Rooms-katholiek
L'Avenir,V.V.S.,Roermond,Voetbal,1922,1924,Neutraal
L'Avenir,,Maastricht,Voetbal,1931,1931,Neutraal
L'Avenir,,Maastricht,Voetbal,1917,1921,Neutraal
L'Avenir,,Maastricht,Voetbal,1929,1931,Neutraal
L'Avenir,Juliana,Maastricht,Voetbal,1912,1915,Neutraal
L'Avenir,W.V.C.,Wijk,Voetbal,1919,1920,Neutraal
L'Avenir,W.V.C.,Wijk (Maastricht),Voetbal,1919,1920,Neutraal
L.A.V.V.,A.V.V.,Leiden,Voetbal,1920,1922,Neutraal
L.B.B.,,Zutphen,Voetbal,1909,1910,Neutraal
L.B.B.,,Warnsveld,Voetbal,1924,1925,Neutraal
L.B.B.,,Vorden,Voetbal,1912,1912,Neutraal
L.B.C.,Locobank,Amsterdam,Voetbal,1911,1913,Neutraal
L.B.V.V.,,Leeuwarden,Voetbal,1938,1942,Neutraal
L.C.C.F.,,Rotterdam,Voetbal,1930,1931,Neutraal
L.C.O. (Landbouw Crisis Organisatie),,Leeuwarden,Voetbal,1936,1938,Neutraal
L.C.O.G. (Landbouw Crisis Organisatie Groningen),,Groningen,Voetbal,1935,1936,Neutraal
L.D.O.,,Zoetermeer,Voetbal,1929,1931,Neutraal
L.D.P. (Leeuwarder Dagbladpers),,Leeuwarden,Voetbal,1937,,Neutraal
L.D.S.,,Bergen op Zoom,Voetbal,1925,1928,Neutraal
L.D.T.,Steeds Voorwaarts,Lent,Voetbal,1921,1929,Neutraal
L.D.T.,,Lent,Voetbal,1929,1932,Neutraal
L.D.T.S.,D.T.S.,Leiden,Voetbal,1933,1939,Neutraal
L.D.W.S.,D.W.S.,Leiden,Voetbal,1927,,Neutraal
Le Progr&#232;s,,Weesp,Voetbal,1907,1915,Neutraal
Ledeheld,,Rotterdam?,Voetbal,1938,1940,Neutraal
Leek,A.D.O.,Leek,Voetbal,1932,,Neutraal
Leens,,Leens,Voetbal,1924,1925,
Leerdam,Sparta,Leerdam,Voetbal,1912,,Neutraal
Leeuwarden,Quick,Leeuwarden,Voetbal,1917,,Neutraal
Leeuwarden (voetbalgroep),,Leeuwarden,Voetbal,1930,,Socialistisch
Leeuwarder Boys,,Leeuwarden,Voetbal,1929,1937,Neutraal
Leeuwarder G.V.C. Ajax,,Leeuwarden,Voetbal,1902,1903,Neutraal
Leeuwarder V.V. Vitesse,,Leeuwarden,Voetbal,1905,1907,Neutraal
Leeuwen,,Leeuwen bij Roermond,Voetbal,1928,,Rooms-katholiek
Leeuweriken,Geel Zwart,Assen,Voetbal,1924,1929,Neutraal
Leiden,,Leiden,Voetbal,1921,1936,Rooms-katholiek
Leiden,,Leiden,Voetbal,1916,1917,Neutraal
Leiden,Hercules//Leidsch Hercules,Leiden,Voetbal,1909,1912,Neutraal
Leiden (zaterdag),,Leiden,Voetbal,1940,,Neutraal
Leidsch Concordia,Concordia,Leiden,Voetbal,1905,1909,Neutraal
Leidsche athletiek- en voetbalvereeniging De Sportman,,Leiden,Voetbal,1896,1918,Neutraal
Leidsche Boys,Hercules,Leiden,Voetbal,1922,,Neutraal
Leidsche Cricket en Football Club Unie,,Leiden,Voetbal,1896,1898,Neutraal
Leidsche F.C. Achilles,,Leiden,Voetbal,1885,1891,Neutraal
Leidsche Studenten Cricket- en Voetbalvereeniging (L.S.C.V.V.),,Leiden,Voetbal,1883,1898,Neutraal
Leidsche Voetbal Vereeniging (L.V.V.),,Leiden,Voetbal,1894,1895,Neutraal
Leidsche Voetbal Vereeniging (L.V.V.),,Leiden,Voetbal,1901,1903,Neutraal
Leidsche V.V.,,Leiden,Voetbal,1894,1895,Neutraal
Leidschendam,,Leidschendam,Voetbal,1921,1923,Neutraal
Leiduin,,Heemstede,Voetbal,1920,1926,Neutraal
Leijenbroek,,Leijenbroek,Voetbal,1928,1930,Neutraal
Leimuiden,O.D.I.,Leimuiden,Voetbal,1933,1942,Rooms-katholiek
Lekkerkerk,,Lekkerkerk,Voetbal,1927,,Neutraal
Lemafa,,Den Haag,Voetbal,1935,1937,Neutraal
Lemelerveld,,Lemelerveld,Voetbal,1932,1935,Neutraal
Lemiers,V.C.L.,Lemiers,Voetbal,1923,1924,Neutraal
Lemiers,Zwart Wit,Lemiers,Voetbal,1931,1935,Neutraal
Lemiers,,Lemiers-Vaals,Voetbal,1927,1929,Rooms-katholiek
Lemirsia,L.V.V.,Lemiers-Vaals,Voetbal,1940,,Neutraal
Lemmer,L.V.V. (Lemster Voetbal Vereeniging),Lemmer,Voetbal,1923,,Neutraal
Lengel,L.V.C.,Lengel,Voetbal,1920,1925,Rooms-katholiek
Lengel,,Lengel,Voetbal,1926,1928,Rooms-katholiek
Lenig en Snel,Hollandia,Boxtel,Voetbal,1926,,Rooms-katholiek
Lenig en Snel (L. en S.),,Scheveningen,Voetbal,1920,2005,Rooms-katholiek
Lenitas,,Veldhoven,Voetbal,1922,1923,Rooms-katholiek
Lentina,,Lent,Voetbal,1922,1924,Rooms-katholiek
L.E.O. (Loon En Omstreken),,Loon,Voetbal,1932,,Neutraal
Leonardi,,Hilvarenbeek,Voetbal,1916,,Rooms-katholiek
Leones,,Beneden-Leeuwen,Voetbal,1929,,Rooms-katholiek
Leonidas,,Kloosterbosch,Voetbal,1920,1922,Rooms-katholiek
Leonidas,,Den Helder ?,Voetbal,1907,1909,Neutraal
Leonidas,,Amsterdam,Voetbal,1901,1904,Neutraal
Leonidas,,Oudenbosch,Voetbal,1918,,Rooms-katholiek
Leonidas,,Wolder (Maastricht),Voetbal,1940,,Rooms-katholiek
Leonidas,,Waalwijk,Voetbal,1924,1924,Rooms-katholiek
Leonidas,,Den Helder,Voetbal,1914,,Neutraal
Leonidas,Swift,Rotterdam,Voetbal,1909,,Rooms-katholiek
Leonidas,,Schimmert,Voetbal,1909,1912,Neutraal
Leonidas,,Noordwolde Fr,Voetbal,1924,1926,Neutraal
Leonidas V.C.,,Oud-Valkenburg,Voetbal,1910,,Neutraal
Leonidas Vooruit,Leonidas,Tilburg,Voetbal,1912,1918,Rooms-katholiek
Lepelstraat,Excelsior,Lepelstraat,Voetbal,1919,1923,Rooms-katholiek
Lepelstraat,,Lepelstraat,Voetbal,1930,1931,Neutraal
Lepelstraat,L.V.V.,Lepelstraat,Voetbal,1928,1929,Neutraal
L.E.S.,,Den Haag,Voetbal,1921,,Neutraal
L'Espoir,,Maastricht,Voetbal,1920,1926,Neutraal
L'Espoir,Bosscherveldia,Maastricht,Voetbal,1927,1933,Neutraal
L'Espoir,M.F.C.,Maastricht,Voetbal,1938,1941,Neutraal
Leur,,Leur,Voetbal,1929,1942,Neutraal
Leur,H.B.S.,Leur,Voetbal,1926,1928,Neutraal
Leusden,,Leusden,Voetbal,1924,1930,Neutraal
Levaefanum,,Vianen,Voetbal,1934,1938,Rooms-katholiek
Levant,H.A.L.,Rotterdam,Voetbal,1922,1927,Neutraal
Levie,,Groningen,Voetbal,1933,,Neutraal
Levu,De Utrecht,Utrecht,Voetbal,1935,,Neutraal
L.E.W.,,Eindhoven,Voetbal,1928,,Neutraal
Lewedorpsche Boys,V.V.L.,Lewedorp,Voetbal,1934,1936,Rooms-katholiek
L.E.W.E.N.S.T.E.I.N.,,Amsterdam,Voetbal,1937,1940,Neutraal
L.F.C.,,Lochem,Voetbal,1904,1908,Neutraal
L.F.C.,,Leiden,Voetbal,1904,1905,Neutraal
L.F.C.,,Leiden,Voetbal,1911,1911,Neutraal
L.F.C.,L.V.C.,Limbricht,Voetbal,1928,1935,Rooms-katholiek
L.F.C. (Leidsche Football Club),Excelsior//L.V.C.E.,Leiden,Voetbal,1907,,Neutraal
L.F.C. Lochem,Excelsior,Lochem,Voetbal,1909,1911,Neutraal
L.G.F.,,Delft,Voetbal,1938,1939,Neutraal
Libanon Combinatie (zaterdag),,Rotterdam,Voetbal,1939,1945,Neutraal
Liberty,Voorwaarts//V.I.O.D.,Rotterdam,Voetbal,1920,1926,Neutraal
Liberty,Sparta,Nijmegen,Voetbal,1925,1941,Neutraal
Lichtenberg,,Schaesberg (Maastricht),Voetbal,1931,1938,Rooms-katholiek
Lichtenvoorde,Volharding,Lichtenvoorde,Voetbal,1919,1923,Rooms-katholiek
Lichtenvoorde,,Lichtenvoorde,Voetbal,1924,1925,Neutraal
Lichtenvoorde,L.V.V.,Lichtenvoorde,Voetbal,1928,1929,Neutraal
Lienden,,Lienden,Voetbal,1935,,Neutraal
Lienden,L.V.V.,Lienden,Voetbal,1930,1935,Neutraal
Liessel,,Liessel,Voetbal,1930,,Rooms-katholiek
Lievelde,,Lichtenvoorde,Voetbal,1936,,Rooms-katholiek
Lijnden,,Lijnden (Haarlemmermeer),Voetbal,1923,,Neutraal
Lijnden,,Lijnden (Haarlemmermeer),Voetbal,1930,,Neutraal
Limbricht,L.F.C.,Limbricht,Voetbal,1938,,Rooms-katholiek
Limburgia,U.S.V.,Venlo,Voetbal,1923,1926,Neutraal
Limburgia,De Jonge Zwaluw,Sittard,Voetbal,1927,1936,Neutraal
Limburgia,Roosteren,Roosteren,Voetbal,1919,,Rooms-katholiek
Limburgia,,Vaals,Voetbal,1915,1918,Neutraal
Limburgia,Blauw Wit,Maastricht,Voetbal,1920,1923,Neutraal
Limburgia,,Epen,Voetbal,1926,,Rooms-katholiek
Limburgia,Rhenania//Staatsmijn Hendrik,Brunssum,Voetbal,1920,,Neutraal
Limdraad,,Blerick,Voetbal,1939,1942,Neutraal
Limmel,L.V.V.,Limmel (Maastricht),Voetbal,1912,1913,Neutraal
Limmen,Oranje Wit,Limmen,Voetbal,1931,,Rooms-katholiek
Limmen,,Limmen,Voetbal,1922,,Rooms-katholiek
Limmen,L.V.V.,Limmen,Voetbal,1921,1933,Neutraal
Limmersia,,Lemiers-Vaals,Voetbal,1933,1936,Rooms-katholiek
L.I.M.V.I.O. (Labor Improbis Vincit Omnia),Rapiditas//Albatros//Fiducia,Amersfoort,Voetbal,1916,1933,Rooms-katholiek
Lindeman,,Den Haag?,Voetbal,1926,1926,Neutraal
Lindenheuvel,Wilskracht,Lindenheuvel (Geleen),Voetbal,1938,,Rooms-katholiek
Lindenheuvelsche Boys,,Lindenheuvel (Geleen),Voetbal,1932,1933,Rooms-katholiek
Linker Maasoever,Volharding,Rotterdam,Voetbal,1927,1930,Neutraal
Linnaeus,,Amsterdam,Voetbal,1907,1910,Neutraal
Linnaeus,,Amsterdam,Voetbal,1904,1906,Neutraal
Linnaeus,,Amsterdam,Voetbal,1915,1916,Neutraal
Linnaeus,Volharding,Amsterdam,Voetbal,1917,1918,Neutraal
Linnaeus,,Amsterdam,Voetbal,1907,1913,Neutraal
Linnaeus,Quick,Amsterdam,Voetbal,1913,1914,Neutraal
Linne,V.E.L.,Linne,Voetbal,1922,,Neutraal
Linne,,Linne,Voetbal,1910,,Rooms-katholiek
Lippenhuizen,,Lippenhuizen,Voetbal,1934,1937,Neutraal
Lippros,Wanderers,Amsterdam,Voetbal,1928,1942,Neutraal
Lips,L.S.V.,Dordrecht,Voetbal,1938,1942,Neutraal
Lisse,Concordia,Lisse,Voetbal,1913,1914,Neutraal
Lisse,L.F.C. (Lissesche Football Club)//L.S.V.,Lisse,Voetbal,1921,1981,Rooms-katholiek
Lisserbroek,,Lisserbroek,Voetbal,1921,1924,Rooms-katholiek
Lithographen,L.F.C. (Lithographen F.C.),Groningen,Voetbal,1936,1941,Neutraal
Litta,,Lith,Voetbal,1936,2003,Rooms-katholiek
Littorio,G.S.I.,Heerlen,Voetbal,1939,1942,Rooms-katholiek
L.M.B.,Amicitia,Rotterdam,Voetbal,1936,1936,Neutraal
L.M.C.,Lisserdijk,Lisse,Voetbal,1921,1931,Neutraal
L.M.O.,Linker Maas,Rotterdam,Voetbal,1922,1933,Neutraal
L.M.O. (Linker Maas Oever),S.P.P.B.,Rotterdam,Voetbal,1937,,Neutraal
Lobith,,Lobith,Voetbal,1934,,Rooms-katholiek
Lobithsche Boys,,Lobith,Voetbal,1926,1945,Rooms-katholiek
L.O.C. (Leydsche Oranje Combinatie),,Amsterdam,Voetbal,1921,,Neutraal
Lochem,,Lochem,Voetbal,1911,1923,Neutraal
Lochem,Blauw Wit,Lochem,Voetbal,1918,,Neutraal
Lochemsche Boys,Sparta,Lochem,Voetbal,1923,1925,Neutraal
Lochuizen,,Lochuizen (gemeente Neede),Voetbal,1931,1934,Neutraal
Loenen,,Loenen,Voetbal,1922,1937,Neutraal
Loenen,,Loenen Gl,Voetbal,1935,,Rooms-katholiek
Loenermark,O.L.T.O.,Loenen,Voetbal,1928,,Neutraal
Loil,Loil Vooruit,Loil-Didam,Voetbal,1921,1922,Rooms-katholiek
Lombok,D.O.S.,Arnhem,Voetbal,1923,1924,Neutraal
Lomm,L.V.C.,Lomm,Voetbal,1934,,Rooms-katholiek
Lomm,,Lomm,Voetbal,1928,,Rooms-katholiek
L.O.N.A.,,Amsterdam,Voetbal,1920,1924,Neutraal
L.O.N.A.-S.K.V.,,Amsterdam,Voetbal,1924,1931,Neutraal
L.O.N.G.A.,,Grevenbicht,Voetbal,1938,1941,Rooms-katholiek
L.O.N.G.A.,,Den Bosch,Voetbal,1928,1930,Rooms-katholiek
L.O.N.G.A.,,Lage Zwaluwe,Voetbal,1933,1934,Protestants-christelijk
L.O.N.G.A. (Lichaams Ontwikkeling Na Gedane Arbeid),Tilburgsche Sportvereeniging voor Kantoorbedienden L.O.N.G.A.,Tilburg,Voetbal,1920,,Neutraal
L.O.N.G.A. (Lichamelijke Ontspanning Na Gedane Arbeid),,Lichtenvoorde,Voetbal,1930,,Rooms-katholiek
Lonneker,De Zwaluw,Lonneker (Enschede),Voetbal,1921,,Neutraal
Look Out,,Veendam,Voetbal,1897,1909,Neutraal
Looman,,Dordrecht,Voetbal,1938,,Neutraal
Loosduinen,,Loosduinen,Voetbal,1936,,Neutraal
Loosduinen,,Loosduinen (Den Haag),Voetbal,1919,1919,Neutraal
Lopik (zaterdag),,Lopik,Voetbal,1934,,Neutraal
Loppersum,Voorwaarts,Loppersum,Voetbal,1915,,Neutraal
Lord,,Reuver,Voetbal,1919,1924,Rooms-katholiek
L.O.S.,,Roosendaal,Voetbal,1933,1937,Rooms-katholiek
L.O.S.,L.H.S.,Amsterdam,Voetbal,1928,1931,Neutraal
Losser,,Losser,Voetbal,1921,1922,Neutraal
Losser,Olympia,Losser,Voetbal,1930,,Rooms-katholiek
Losser,Excelsior,Losser,Voetbal,1915,1921,Rooms-katholiek
Losser,Excelsior,Losser,Voetbal,1921,1926,Rooms-katholiek
Lossersche Boys,Achilles,Losser,Voetbal,1923,1923,Neutraal
Lotisico Sportvereeniging (zaterdag),,Den Haag,Voetbal,1937,1942,Neutraal
L.R.C. (zaterdag),Excelsior,Lisse,Voetbal,1931,1940,Neutraal
L.S.C.,,Leeuwarden,Voetbal,1911,,Neutraal
L.S.C.,Lettele,Lettele,Voetbal,1932,1940,Rooms-katholiek
L.S.C. (Lycurgus Sparta Combinatie),,Sneek,Voetbal,1907,,Neutraal
L.S.E.C. (Laag Soeren Eerbeek Combinatie),,Laag-Soeren,Voetbal,1925,1931,Neutraal
L.S.V.,,Lith,Voetbal,1934,1936,Rooms-katholiek
L.S.V.,,Nieuw-Loosdrecht,Voetbal,1932,1932,Neutraal
L.S.V.,,Laar-Weert,Voetbal,1935,,Rooms-katholiek
L.S.V. (Leerdamsche Sportvereeniging Voorwaarts),Voorwaarts,Leerdam,Voetbal,1890,,Neutraal
L.S.V. (Lonneker Sport Vereeniging),,Lonneker,Voetbal,1930,1939,Rooms-katholiek
L.S.V.V. (Langedijker Sport Vereniging Voorwaarts),Voorwaarts,Langedijk/Noord-Scharwoude,Voetbal,1926,,Rooms-katholiek
L.T.M. (Limb. Tramweg Mij.),,Heerlen,Voetbal,1934,1938,Neutraal
Luctor,,Heinkenszand,Voetbal,1934,1979,Rooms-katholiek
Luctor et Emergo,Sportclub Almelo,Almelo,Voetbal,1910,1925,Neutraal
Luctor et Emergo,,Almelo,Voetbal,1931,,Neutraal
Luctor et Emergo,,Enschede,Voetbal,1908,1917,Neutraal
Lugdunum,,Leiden,Voetbal,1919,,Neutraal
Lugdunum,Tavenu,Leiden,Voetbal,1911,1918,Neutraal
L.U.N.O.,H.D.S.,Rotterdam,Voetbal,1923,,Neutraal
Lunteren,,Lunteren,Voetbal,1929,1931,Neutraal
L.U.T.O.,Velox,Amsterdam,Voetbal,1920,1924,Neutraal
L.U.T.O.,,Amsterdam,Voetbal,1924,1924,Neutraal
L.U.T.O.,,Amsterdam,Voetbal,1925,1926,Neutraal
L.U.T.O.,,Rotterdam,Voetbal,1939,1939,Socialistisch
L.U.T.O. (com),,Amsterdam,Voetbal,1933,1933,Socialistisch
L.U.T.O. (Leert Uw Tegenstanders Overwinnen),Limperg,Amsterdam,Voetbal,1934,1942,Neutraal
Luttardia,,Lutterade (Geleen),Voetbal,1921,1924,Rooms-katholiek
Luttensche V.C.,L.V.C.,Lutten aan de Dedemsvaart,Voetbal,1934,1935,Neutraal
Lutterade,Victoria,Lutterade (Geleen),Voetbal,1929,,Rooms-katholiek
Luxor,Vitesse,Amsterdam,Voetbal,1921,1926,Neutraal
L.V.A.,S.V.T.A.,Den Haag,Voetbal,1934,1937,Neutraal
L.V.C.,,Limmel (Maastricht),Voetbal,1923,1923,Neutraal
L.V.C.,,Limmel (Maastricht),Voetbal,1920,1922,Rooms-katholiek
L.V.C.,,Lottum,Voetbal,1928,,Rooms-katholiek
L.V.C.,,Leijenbroek ?,Voetbal,1930,1930,Neutraal
L.V.C.,,Lunteren,Voetbal,1936,1937,Neutraal
L.V.C.,R.O.D.A.,Leeuwarden,Voetbal,1920,1927,Neutraal
L.V.C.,,Leeuwarden,Voetbal,1911,1915,Neutraal
L.V.C.,,Leeuwarden,Voetbal,1918,1921,Neutraal
L.V.C.,,regio Sittard en Susteren,Voetbal,1928,,Neutraal
L.V.C.,,Lengel,Voetbal,1933,1939,Rooms-katholiek
L.V.C. (zaterdag),L.D.W.S.,Loppersum,Voetbal,1934,,Neutraal
L.V.H.,D.L.V.H.,Rotterdam,Voetbal,1929,1933,Neutraal
L.V.O.,S.D.O.,Leiden,Voetbal,1923,1933,Neutraal
L.V.V.,,Lindenheuvel (Geleen),Voetbal,1927,1932,Rooms-katholiek
L.V.V.,,Vlissingen,Voetbal,1934,1936,Neutraal
L.V.V.,,Langeweg,Voetbal,1933,1937,Rooms-katholiek
L.V.V.,Steeds Voorwaarts,Lent,Voetbal,1909,1912,Neutraal
L.V.V. (Larensche Voetbal-Vereeniging),,Laren,Voetbal,1918,,Rooms-katholiek
L.V.V. (Leeuwarder Voetbal Vereeniging),Olympia,Leeuwarden,Voetbal,1904,1911,Neutraal
L.V.V. (Leidsche Voetbal Vereeniging),,Leiden,Voetbal,1909,1919,Neutraal
L.V.V.L.,L.S.V. (Langeveensche Sport Vereeniging),Langeveen (Tubbergen),Voetbal,1937,1938,Rooms-katholiek
L.W.V.C.,,Lutjewinkel,Voetbal,1921,,Neutraal
Lybelle,,Rotterdam?,Voetbal,1938,1939,Neutraal
Lycurgus,,Rotterdam,Voetbal,1921,1926,Neutraal
Lycurgus,,Rotterdam,Voetbal,1910,1919,Neutraal
Lysander,,Bergen op Zoom,Voetbal,1900,1901,Neutraal
Lyts Begin,Voorwaarts,Joure,Voetbal,1923,1925,Neutraal
Lyts Begjin,,Scharsterbrug-Haskerhorne,Voetbal,1923,1924,Neutraal
Lyts Bigjin,,Jubbega,Voetbal,1925,1925,Neutraal
L.Y.V.C.,V.I.O.S.,Leeuwarden,Voetbal,1938,1939,Neutraal
Maarheeze,Traplust//E.D.O. (Eendracht Doet Overwinnen),Maarheeze,Voetbal,1932,,Rooms-katholiek
Maarlandia,,Maarland,Voetbal,1925,1927,Neutraal
Maarssen,M.V.V. (Maarssensche Voetbal Vereeniging),Maarssen,Voetbal,1907,1926,Neutraal
Maarssen (zaterdag),M.F.C.,Maarssen,Voetbal,1927,,Neutraal
Maartensdijk,,Maartensdijk,Voetbal,1927,1933,Neutraal
M.A.A.S.,,Maassluis,Voetbal,1919,1939,Neutraal
M.A.A.S.,,Maassluis,Voetbal,1907,1909,Neutraal
M.A.A.S.,,Maassluis,Voetbal,1909,1917,Neutraal
M.A.A.S.,,Rotterdam,Voetbal,1907,1907,Neutraal
M.A.A.S.,,Ginneken,Voetbal,1933,1938,Rooms-katholiek
M.A.A.S. (Macht Als Allen Samenwerken),Victoria,Rotterdam,Voetbal,1906,1907,Neutraal
Maas (zaterdag),,Rotterdam,Voetbal,1928,,Neutraal
Maasboys,V.I.O.D.,Rotterdam,Voetbal,1922,1933,Neutraal
Maasbree,M.V.C.,Maasbree,Voetbal,1923,1924,Rooms-katholiek
Maasbuurters,Tubantia,Gennep,Voetbal,1920,1942,Rooms-katholiek
Maasdam,,Maasdam,Voetbal,1933,1935,Neutraal
Maasdijk,S.N.A.,Maasdijk,Voetbal,1931,1939,Neutraal
Maashaven,,Rotterdam,Voetbal,1927,1929,Neutraal
Maashees,,Maashees,Voetbal,1936,1937,Rooms-katholiek
Maasniel,M.V.C.,Maasniel,Voetbal,1920,1939,Neutraal
Maasniel,,Maasniel,Voetbal,1940,,Rooms-katholiek
Maasoordsche Boys (zaterdag),Unitas,Poortugaal,Voetbal,1934,1935,Neutraal
Maassluis,,Maassluis,Voetbal,1908,1909,Neutraal
Maasstad,Voorwaarts,Rotterdam,Voetbal,1923,1925,Neutraal
Maasstraat,V.V.M.,Den Haag,Voetbal,1930,1940,Neutraal
Maastricht,,Maastricht,Voetbal,1930,1931,Rooms-katholiek
Maastricht,,Maastricht,Voetbal,1921,1922,Rooms-katholiek
Maastricht,V.V.M.,Maastricht,Voetbal,1920,1923,Neutraal
Maastricht,Zwaluwen,Maastricht,Voetbal,1925,1926,Neutraal
Maastricht,Wit Zwart,Maastricht,Voetbal,1934,1942,Neutraal
Maastricht,,Maastricht,Voetbal,1931,1931,Neutraal
Maastricht,,Maastricht,Voetbal,1932,1933,Neutraal
Maastrichtsche Boys,,Maastricht,Voetbal,1926,,Neutraal
Maasvogels,M.V.C.,Maastricht,Voetbal,1922,1932,Neutraal
Maasvogels,,Maastricht,Voetbal,1934,1940,Neutraal
M.A.C.,Groen Wit,Maastricht,Voetbal,1922,1926,Neutraal
Maccabi,,Den Haag,Voetbal,1916,1921,Joods
Maccabi,S.D.W.,Den Haag,Voetbal,1925,1933,Joods
Maccabi,,Enschede,Voetbal,1929,1939,Joods
Machinefabriek Breda,,Breda,Voetbal,1936,,Protestants-christelijk
Machinisten F.C.,,Amsterdam,Voetbal,1889,1891,Neutraal
Machinisten footballclub Swift Amsterdam,,Amsterdam,Voetbal,1894,1907,Neutraal
Machut,,Utrecht?,Voetbal,1920,1920,Neutraal
Macte Animo,,Rotterdam,Voetbal,1931,1933,Rooms-katholiek
Made,,Made,Voetbal,1930,,Rooms-katholiek
Made,,Made,Voetbal,1918,1926,Rooms-katholiek
Made,,Made,Voetbal,1926,1942,Neutraal
Made,M.V.V.,Made,Voetbal,1922,,Rooms-katholiek
Madesche Boys,,Made,Voetbal,1930,,Rooms-katholiek
Madjoe,,Eindhoven,Voetbal,1933,,Rooms-katholiek
Madjoe,,Amsterdam,Voetbal,1928,1993,Neutraal
Madjoe,H.E.C.,Huizen,Voetbal,1921,1924,Neutraal
Madjoe Boys,,Den Haag?,Voetbal,1937,1938,Neutraal
Magpie,Rotterdamsche Zwaluwen,Rotterdam,Voetbal,1926,1927,Neutraal
Mahubeto (zaterdag),,Rotterdam,Voetbal,1926,,Neutraal
Maja,,Amsterdam,Voetbal,1930,1941,Joods
Majella,,Hulst,Voetbal,1917,1923,Rooms-katholiek
Majella,,Oude Wetering,Voetbal,1933,1939,Rooms-katholiek
Majoor,,Beverwijk,Voetbal,1922,,Neutraal
Makkinga,K.M.D. (Klein Maar Dapper)//M.V.C. (Makkingaster Voetbal Club)//Makkinga,Makkinga,Voetbal,1934,,Neutraal
Makkum,,Makkum,Voetbal,1929,,Neutraal
Malburgen,M.V.C.,Malburgen,Voetbal,1922,1924,Neutraal
Malden,Juliana,Malden,Voetbal,1931,,Rooms-katholiek
